Item No.,wheel,dist_US_weld,degrees,INT_EXT,depth,length,width,Dia
2928,65010.69,7.85,117.75,Ext,12,0.294,1.309,24
2939,65329.31,6.84,87.75,Int,20,72.388,23.85,24
2943,65466.71,37.97,19,Ext,10,1.468,1.152,24
2944,65468.12,39.39,8.75,Ext,14,2.544,4.215,24
2967,66041.94,6.34,34.75,Int,25,1.37,3.456,24
2968,66042.19,6.59,31.5,Int,20,0.979,2.488,24
2970,66077.21,1.12,60.75,Ext,10,1.272,9.478,24
2971,66080.11,4.02,67,Ext,20,1.566,5.001,24
2972,66089.36,13.27,75.5,Ext,12,1.957,7.619,24
2973,66091.99,15.9,88.75,Ext,10,1.37,3.692,24
2974,66094.48,18.39,48,Ext,9,1.077,3.168,24
2975,66096.46,20.37,120,Ext,9,0.294,0.917,24
2976,66097.84,21.75,66.75,Ext,8,0.294,1.152,24
2977,66098.77,22.68,53.25,Ext,8,1.957,3.194,24
2979,66107.91,7.62,54.25,Ext,17,6.652,11.546,24
2980,66109.09,8.81,45.75,Ext,20,6.457,10.001,24
3022,67029.46,0.1,17.25,Int,38,0.294,0.943,24
3102,68506.55,15.28,12,Int,27,0.294,0.681,24
3123,68863.5,9.48,66.25,Ext,19,0.49,8.404,24
3141,69205.53,10.76,87.5,Ext,12,0.294,1.074,24
3143,69225.27,10.42,15,Ext,10,2.837,1.336,24
3145,69236.07,1.1,69.75,Ext,11,0.294,0.969,24
3146,69237.93,2.96,24.25,Ext,9,0.196,0.838,24
3148,69264.4,9.32,99.75,Ext,9,0.783,2.226,24
3149,69265.98,10.9,102,Ext,17,0.392,1.126,24
3150,69269.17,14.09,82,Ext,12,0.294,0.995,24
3154,69335.03,19.67,100.25,Ext,21,0.392,1.388,24
3203,70281.02,5.34,127.25,Ext,17,0.685,1.571,24
3204,70283.33,7.66,22,Ext,11,1.761,1.597,24
3223,70640.44,4.98,81,Ext,8,3.229,7.828,24
3224,70640.88,5.42,109.25,Ext,10,5.968,14.661,24
3341,72849.77,13.75,162.75,Ext,6,0.196,1.022,24
3342,72851.37,15.35,18.25,Ext,12,0.294,0.812,24
3343,72852.26,16.24,0.5,Ext,12,0.294,0.655,24
3344,72854.01,17.99,3,Ext,8,0.294,0.943,24
3346,72857.32,1.25,30.25,Ext,18,0.49,1.283,24
3357,73046.01,9.23,170.25,Ext,15,0.294,0.734,24
3438,73982.02,6.64,85.5,Ext,11,0.49,1.152,24
3439,73982.54,7.16,77,Ext,15,0.392,1.022,24
3440,73982.82,7.44,76.25,Ext,14,0.587,1.283,24
3441,73982.98,7.6,84.5,Ext,6,1.37,3.194,24
3442,73983.8,8.42,82,Ext,10,1.272,3.456,24
3443,73984.24,8.86,78.75,Ext,6,3.913,3.509,24
3493,74945.02,0.27,37,Ext,10,0.685,2.278,24
3499,75047.85,3.06,88,Ext,7,3.913,1.912,24
3500,75048.82,4.03,87.5,Ext,9,0.392,1.231,24
3635,80023.57,22.49,84.75,Ext,10,0.587,2.514,24
3693,82294.52,20.24,76.5,Ext,5,2.25,2.278,24
3756,84530.7,37.73,85,Ext,18,0.587,1.336,24
3773,85067,34.32,91.5,Ext,18,10.956,3.718,24
3776,85143.52,32.09,88.75,Ext,7,2.837,3.823,24
3777,85143.66,32.23,91.25,Ext,13,0.392,0.812,24
3778,85143.99,32.56,92.5,Ext,15,3.131,5.315,24
3856,87967.26,28.09,57.5,Ext,16,0.979,2.645,24
3860,88004.01,25.6,57.75,Ext,9,2.642,3.849,24
3867,88216.77,1.85,94.5,Ext,16,0.881,2.435,24
3869,88273.05,18.77,48.75,Ext,10,0.685,0.891,24
3895,89123.55,13.78,82.75,Ext,20,2.153,4.922,24
